,count,unique,top,freq,mean,min,25%,50%,75%,max,std
num_seats_total,209697.0,,,,2.3830193088122384,1.0,1.0,2.0,3.0,66.0,2.083323909688408
mean_net_ticket_price,209697.0,,,,230.1168999293549,1.278969082,108.8701928,186.2821995,350.4094814,7855.766106,147.02478437895468
Dept_Date,209697,,,,2019-02-19 18:47:47.783516160,2018-06-01 00:00:00,2018-11-05 00:00:00,2019-02-21 00:00:00,2019-05-27 00:00:00,2020-06-13 00:00:00,
Purchase_Date,209697,,,,2018-12-18 12:26:46.683929856,2018-06-01 00:00:00,2018-09-07 00:00:00,2018-12-19 00:00:00,2019-04-02 00:00:00,2019-06-30 00:00:00,
Train_Number_All,209697,15,B,26855,,,,,,,
Culmulative_sales,209697.0,,,,15.875062590308874,1.0,3.0,8.0,21.0,187.0,19.795677244747782
isNormCabin,209697.0,,,,0.5982489019871529,0.0,0.0,1.0,1.0,1.0,0.4902533012920864
isReturn,209697.0,,,,0.48018331211223814,0.0,0.0,0.0,1.0,1.0,0.49960833580964964
isOneway,209697.0,,,,0.12287252559645584,0.0,0.0,0.0,0.0,1.0,0.3282916112356154
Customer_Cat,209697,2,B,162404,,,,,,,
dept_weekday,209697.0,,,,3.028889302183627,0.0,1.0,3.0,5.0,6.0,1.9900717213517627
purchase_weekday,209697,7,Thursday,34430,,,,,,,
lead_time_days,209697.0,,,,63.26459606002947,0.0,15.0,39.0,91.0,364.0,65.05075866668439
dept_year,209697.0,,,,2018.6209817021702,2018.0,2018.0,2019.0,2019.0,2020.0,0.5070040332612804
dept_month,209697.0,,,,6.7266246059791035,1.0,4.0,7.0,10.0,12.0,3.461853170171387
dept_day,209697.0,,,,15.761017086558224,1.0,8.0,16.0,23.0,31.0,8.736876647536462
dept_week,209697.0,,,,27.395847341640557,1.0,14.0,27.0,41.0,52.0,15.025066405128683
dept_quarter,209697.0,,,,2.562921739462176,1.0,2.0,3.0,4.0,4.0,1.1279665879258831
purchase_year,209697.0,,,,2018.477403110202,2018.0,2018.0,2018.0,2019.0,2019.0,0.49949031055511944
purchase_month,209697.0,,,,6.372213241009647,1.0,4.0,6.0,9.0,12.0,3.1781205504598713
purchase_week,209697.0,,,,25.918830503059176,1.0,15.0,25.0,37.0,52.0,13.808633882704962
purchase_quarter,209697.0,,,,2.4308597643266237,1.0,2.0,2.0,3.0,4.0,1.0512028226544285
is_weekend_dept,209697.0,,,,0.2793506821747569,0.0,0.0,0.0,1.0,1.0,0.44868122154880236
is_weekend_purchase,209697.0,,,,0.18898696690939784,0.0,0.0,0.0,0.0,1.0,0.3914992007236712
is_sg_holiday_dept,209697.0,,,,0.03259941725441947,0.0,0.0,0.0,0.0,1.0,0.17758616399241803
is_us_holiday_dept,209697.0,,,,0.029742914777035438,0.0,0.0,0.0,0.0,1.0,0.16987763660109467
is_cn_holiday_dept,209697.0,,,,0.03439724936455934,0.0,0.0,0.0,0.0,1.0,0.18224773521852436
is_fr_holiday_dept,209697.0,,,,0.027840169387258758,0.0,0.0,0.0,0.0,1.0,0.16451511609572797
is_in_holiday_dept,209697.0,,,,0.042466034325717585,0.0,0.0,0.0,0.0,1.0,0.20165035126882144
is_ru_holiday_dept,209697.0,,,,0.049590599770144544,0.0,0.0,0.0,0.0,1.0,0.2170981274563534
is_sg_holiday_purchase,209697.0,,,,0.021717048884819526,0.0,0.0,0.0,0.0,1.0,0.1457584302463505
is_us_holiday_purchase,209697.0,,,,0.026910256226841584,0.0,0.0,0.0,0.0,1.0,0.1618215659703866
is_cn_holiday_purchase,209697.0,,,,0.04204161242173231,0.0,0.0,0.0,0.0,1.0,0.2006845965844
is_fr_holiday_purchase,209697.0,,,,0.02777817517656428,0.0,0.0,0.0,0.0,1.0,0.16433708330584473
is_in_holiday_purchase,209697.0,,,,0.04142167031478753,0.0,0.0,0.0,0.0,1.0,0.199263907652679
is_ru_holiday_purchase,209697.0,,,,0.05543236193173961,0.0,0.0,0.0,0.0,1.0,0.22882278049916574
log_price,209697.0,,,,5.256282618494093,0.823723183694997,4.699299603512379,5.232616567560507,5.861952157176132,8.969130363864195,0.6057145912109063
return_x_norm,209697.0,,,,0.29384302112095073,0.0,0.0,0.0,1.0,1.0,0.45552199681664396
oneway_x_norm,209697.0,,,,0.06321025098117761,0.0,0.0,0.0,0.0,1.0,0.24334131900623066
return_x_weekend,209697.0,,,,0.1420144303447355,0.0,0.0,0.0,0.0,1.0,0.3490657717112637
oneway_x_weekend,209697.0,,,,0.03373438818867223,0.0,0.0,0.0,0.0,1.0,0.18054510430385018
route_sales_rank,209697.0,,,,9210.00848843808,1.0,3846.0,8137.0,13439.0,26855.0,6489.279203234054
sales_diff_1,209697.0,,,,3.3381498066257506e-05,-183.0,-1.0,1.0,3.0,172.0,16.40448044507279
dept_season,209697,4,Autumn,55463,,,,,,,
route_month_mean_price,209697.0,,,,230.1168999293549,89.69914478485295,199.04158188431933,218.9408142466626,258.94717478206775,651.7522094,63.63238648469698
price_to_route_month_mean,209697.0,,,,1.0,0.0058416201949404,0.5525668984802032,0.8346853917343809,1.3217336052974251,32.260531931770444,0.5810231514723773
days_to_departure,209697.0,,,,63.26459606002947,0.0,15.0,39.0,91.0,364.0,65.05075866668439
log_num_seats_total,209697.0,,,,1.0956890774939256,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.3862943611198906,4.204692619390966,0.45838442835358184
