,0
num_seats_total,0
mean_net_ticket_price,0
Dept_Date,0
Purchase_Date,0
Train_Number_All,0
Culmulative_sales,0
isNormCabin,0
isReturn,0
isOneway,0
Customer_Cat,0
dept_weekday,0
purchase_weekday,0
lead_time_days,0
dept_year,0
dept_month,0
dept_day,0
dept_week,0
dept_quarter,0
purchase_year,0
purchase_month,0
purchase_week,0
purchase_quarter,0
is_weekend_dept,0
is_weekend_purchase,0
is_sg_holiday_dept,0
is_us_holiday_dept,0
is_cn_holiday_dept,0
is_fr_holiday_dept,0
is_in_holiday_dept,0
is_ru_holiday_dept,0
is_sg_holiday_purchase,0
is_us_holiday_purchase,0
is_cn_holiday_purchase,0
is_fr_holiday_purchase,0
is_in_holiday_purchase,0
is_ru_holiday_purchase,0
log_price,0
return_x_norm,0
oneway_x_norm,0
return_x_weekend,0
oneway_x_weekend,0
route_sales_rank,0
sales_diff_1,0
dept_season,0
route_month_mean_price,0
price_to_route_month_mean,0
days_to_departure,0
log_num_seats_total,0
